id,intervention,tiers,sources,verdict_d,delta_ranking,ci_low_ranking,ci_high_ranking,verdict_f,verdict_n,delta_narrative,cost_seconds_delta,cost_tokens_delta,verdict,confidence,recommendation
N03,EXPERT-STRUCTURED (E1),S,S-E1,INDETERMINADA_D,-0.011395757020757014,-0.04226688265530192,0.0151754849013641,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
N04,EXPERT-COHORT,S,S-COH,INDETERMINADA_D,0.06480136697656391,0.018626112969717598,0.11415826867266625,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
N05,EXPERT-EXPERIENCE (biblioteca kNN),S,S-LIB-off,SOBRA_D,0.0,0.0,0.0,SOBRA_F,,,,,SOBRA_DF (N sin medir),media,no retirar sin medir narrativa
N06,EXPERT-TRACE (E4),S,"S-W-noted,S-PLAN-todo",INDETERMINADA_D,0.06339520877982419,0.055854964302079695,0.07081132084617661,NECESARIA_F,,,,,NECESARIA_F,alta,mantener
N07,EXPERT-EAU (+ RAG),"L,J",L1,SOBRA_D,0.0,0.0,0.0,SOBRA_F,INDETERMINADA_N,-0.02972972972972972,-0.14835164835164605,0.0,INDETERMINADA,media,mantener; evidencia insuficiente
N08,MODERATOR,"L,J",L2,SOBRA_D,0.0009745115995116738,-0.0004754845848595823,0.002693833943833945,NECESARIA_F,INDETERMINADA_N,-0.010810810810810801,2.560439560439562,0.0,NECESARIA_F,alta,mantener
N09,EXPERT-IMAGE,L,L0: 0 activaciones,SOBRA_D,0.0,0.0,0.0,SOBRA_F,SOBRA_N,0.0,,,SOBRA,alta,retirar o simplificar
N10,REGISTRAR (+ MCP),"S,L",S-PLAN-nada,INDETERMINADA_D,0.07819985817288821,0.031194930929463602,0.12853774956016917,NECESARIA_F,,,,,NECESARIA_F,alta,mantener
N11,EXPERT-PSA (E2),S,S-PSA-off,SOBRA_D,0.0,0.0,0.0,SOBRA_F,,,,,SOBRA_DF (N sin medir),media,no retirar sin medir narrativa
N12,EXPERT-FUSION (E3),S,S-E3,INDETERMINADA_D,0.008045608605953491,-0.0030906593406593414,0.02909365974413064,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
N13,PANEL-PROTOCOL,S,mecanismos M1-M13,ESTRUCTURAL,,,,ESTRUCTURAL,,,,,ESTRUCTURAL,alta,mantener
N14,VERIFIER (+ reapertura),"L,J",L3,SOBRA_D,0.0,0.0,0.0,SOBRA_F,SOBRA_N,-0.00045045045045043387,-5.76923076923077,0.0,SOBRA,alta,retirar o simplificar
N15,CHAIR,"L,J",L5,SOBRA_D,0.0,0.0,0.0,SOBRA_F,INDETERMINADA_N,0.025675675675675698,-3.178021978021981,0.0,INDETERMINADA,media,mantener; evidencia insuficiente
M1,"Cohorte sin biopsia previa, PI-RADS mayor o igual a 3",S,S-M1,SOBRA_D,0.0012362637362637319,0.0,0.003090659340659339,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
M2,"Cohorte con biopsia negativa, PI-RADS mayor o igual a 4",S,S-M2,INDETERMINADA_D,0.023743131868131817,0.0,0.05412377679401692,SOBRA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
M3,Cohorte con biopsia positiva,S,S-M3,INDETERMINADA_D,0.04079021262489002,0.0010213893988564623,0.08352094760260402,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
M4,Grado documentado,S,S-M4,INDETERMINADA_D,0.030199214741897684,-0.011332598243353397,0.0776014411596921,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
M5,Voto ponderado E1 y E3,S,S-E1E3,INDETERMINADA_D,-0.025032901979623157,-0.06683030305952169,0.011698921198552082,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
M6,Peso de biblioteca igual a cero,S,S-A-libvote,INDETERMINADA_D,0.027794084570400446,-0.0012362637362637356,0.0646584057104112,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
M8,Confianza por acuerdo,S,S-C-trace,SOBRA_D,-0.0006181318681317549,-0.0030906593406593405,0.0018543956043956058,INDETERMINADA_F,,,,,INDETERMINADA,media,mantener; evidencia insuficiente
M9,Pesos del formulario de E4,S,S-W-noted,INDETERMINADA_D,0.06339520877982419,0.055854964302079695,0.07081132084617661,NECESARIA_F,,,,,NECESARIA_F,alta,mantener
M10,Plan de documentos de E4,S,S-PLAN-todo,SOBRA_D,0.001790709290709347,-0.0006357028388278393,0.0042872440059940125,NECESARIA_F,,,,,NECESARIA_F,alta,mantener
M11,Guardia de aterrizaje,S,S-G-off,SOBRA_D,0.008325609575609683,0.007009759337884344,0.00968114235301736,NECESARIA_F,,,,,NECESARIA_F,alta,mantener
M12,Excepcion de bx,S,S-G-bx,SOBRA_D,0.00017312993274543054,-0.002186717796092786,0.002460423657539048,NECESARIA_F,,,,,NECESARIA_F,alta,mantener
