id,bloque,tipo,signo_dev,signo_val,same_sign,delta_ranking_dev,delta_ranking_val,signo_dev_deployed,signo_val_deployed,same_sign_deployed,minimum_detectable_net,full_net_decisions,additional_net_needed
A0,referencia,baseline,cero,cero,True,0.0,0.0,cero,cero,True,6,0,6
S-M1,decision,ablacion,positivo,positivo,True,0.0008789062499999778,0.002083333333333326,cero,cero,True,6,0,6
S-M2,decision,ablacion,positivo,positivo,True,0.011669620973389305,0.052547465394687576,cero,negativo,False,6,3,3
S-M3,decision,ablacion,positivo,positivo,True,0.05608587178043811,0.00314784752284758,positivo,negativo,False,6,5,1
S-M3a,decision,ablacion,positivo,negativo,False,0.03516895012315269,-0.025946392024823295,positivo,negativo,False,6,2,4
S-M3b,decision,ablacion,positivo,positivo,True,0.01093756078820407,0.028966915890935585,positivo,positivo,True,6,2,4
S-M3c,decision,ablacion,positivo,cero,False,0.010764673056722573,0.0,cero,cero,True,6,1,5
S-COH,decision,ablacion,positivo,positivo,True,0.0680867642195766,0.056702245174467425,positivo,negativo,False,6,8,0
S-M4,decision,ablacion,positivo,negativo,False,0.05585439029895656,-0.03333415857925659,positivo,negativo,False,6,4,2
S-M4a,decision,ablacion,positivo,negativo,False,0.05585439029895656,-0.0023494869328202217,positivo,negativo,False,6,5,1
S-M4b,decision,ablacion,cero,negativo,False,0.0,-0.03163720538720538,cero,negativo,False,6,-1,5
S-E1,decision,ablacion,negativo,positivo,False,-0.025334392447628362,0.02278636033537995,positivo,positivo,True,6,-1,5
S-E3,decision,ablacion,positivo,cero,False,0.011305254500143302,0.0,positivo,positivo,True,6,1,5
S-E1E3,decision,ablacion,negativo,negativo,True,-0.03255382585864819,-0.0067672759339425514,positivo,positivo,True,6,-3,3
S-VOTO-YES,decision,reemplazo,negativo,negativo,True,-0.03255382585864819,-0.0067672759339425514,positivo,positivo,True,6,-3,3
S-VOTO-E1,decision,reemplazo,positivo,cero,False,0.011305254500143302,0.0,positivo,positivo,True,6,1,5
S-VOTO-E3,decision,reemplazo,negativo,positivo,False,-0.025334392447628362,0.02278636033537995,positivo,positivo,True,6,-1,5
S-DOC-prev,documentos,ablacion,positivo,negativo,False,0.032979279984263754,-0.0065161535994868736,positivo,negativo,False,6,3,3
S-DOC-rad,documentos,ablacion,positivo,positivo,True,0.06372822742939932,0.011843668163112664,positivo,positivo,True,6,1,5
S-DOC-lab,documentos,ablacion,positivo,negativo,False,0.014346398107693226,-0.0018827160493826156,positivo,positivo,True,6,1,5
S-DOC-psa,documentos,ablacion,negativo,positivo,False,-0.0006835937500000444,0.0009259259259259967,negativo,positivo,False,6,0,6
S-PLAN-bucket,plan,reemplazo,positivo,negativo,False,0.0007015467171717082,-0.0012345679012344402,negativo,positivo,False,6,0,6
S-PLAN-todo,plan,reemplazo,positivo,positivo,True,0.001852805397727253,0.0016435185185185164,negativo,positivo,False,6,0,6
S-PLAN-nada,plan,reemplazo,positivo,positivo,True,0.10833020792312387,0.003290654365000867,positivo,positivo,True,6,6,0
S-W-mode,formulario,ablacion,positivo,positivo,True,0.003633723047785531,0.002453703703703791,positivo,positivo,True,6,0,6
S-W-model,formulario,ablacion,cero,cero,True,0.0,0.0,cero,cero,True,6,0,6
S-W-noted,formulario,ablacion,positivo,positivo,True,0.06379472433671651,0.06244820894126457,positivo,positivo,True,6,0,6
S-C-trace,formulario,ablacion,negativo,cero,False,-0.0008789062500000888,0.0,negativo,positivo,False,6,0,6
S-C-clear,formulario,reemplazo,negativo,cero,False,-0.0008789062500000888,0.0,negativo,positivo,False,6,0,6
S-LIB-off,formulario,ablacion,cero,cero,True,0.0,0.0,cero,cero,True,6,0,6
S-PSA-off,formulario,ablacion,cero,cero,True,0.0,0.0,cero,cero,True,6,0,6
S-G-off,formulario,ablacion,positivo,positivo,True,0.007939864136153219,0.009239969135802495,positivo,positivo,True,6,0,6
S-G-bx,formulario,ablacion,negativo,positivo,False,-0.0006353018364737562,0.0020894126449682027,positivo,positivo,True,6,0,6
